"State Code","State Name","District Code","District Name","Sub District Code","Sub District Name","Town Code","Town Name","Total   Households ","Total Population of Town","Total Male Population of Town","Total Female Population of Town","Total Scheduled Castes Population of Town","Total Scheduled Castes  Male Population of Town","Total Scheduled Castes  Female Population of Town","Total Scheduled Tribes Population of Town","Total Scheduled Tribes  Male Population of Town","Total Scheduled Tribes  Female Population of Town","Reference Year","Class","Civic Status of Town","Name of Taluk/Tahsil/Police Station/Islands etc.","Name of CD Block","Area (sq. km.)","Number of Households including Houseless Households (2011 Census)","Scheduled Castes Population (2011 Census)","Scheduled Tribes Population (2011 Census)","Town Population (Census 1901)","Growth Rate Town (Census 1901)","Town Population (Census 1911)","Growth Rate Town (Census 1911)","Town Population (Census 1921)","Growth Rate Town (Census 1921)","Town Population (Census 1931)","Growth Rate Town (Census 1931)","Town Population (Census 1941)","Growth Rate Town (Census 1941)","Town Population (Census 1951)","Growth Rate Town (Census 1951)","Town Population (Census 1961)","Growth Rate Town (Census 1961)","Town Population (Census 1971)","Growth Rate Town (Census 1971)","Town Population (Census 1981)","Growth Rate Town (Census 1981)","Town Population (Census 1991)","Growth Rate Town (Census 1991)","Town Population (Census 2001)","Growth Rate Town (Census 2001)","Town Population (Census 2011)","Growth Rate Town (Census 2011)","Density (Census 2011)","Sex Ratio (Census 1991)","Sex Ratio (Census 2001)","Sex Ratio (Census 2011)","Rainfall (mm.)","Maximum Temperature (in centigrade)","Minimum Temperature (in centigrade)","State H.Q. Name","State H.Q. Road Distance (in kms.)","District H.Q. Name","District H.Q. Road Distance (in kms.)","Subdivision/Taluk/Tahsil/Police Station/ Development Block/Island H.Q. Name","Sub-division/Taluk/Tahsil/Police Station/ Development Block/Island H.Q.Road Distance (in kms.)","Nearest Ciity Name with Population of 1 Lakh and more","Nearest Ciity with Population of 1 Lakh and more Road Distance (in kms.) ","Nearest Ciity Name with Population of 5 Lakh and more","Nearest Ciity with Population of 5 Lakh and more Road Distance (in kms.) ","Railway Station Name","Railway Station Road Distance (in kms)","Bus Route Name","Bus Route Road Distance (in kms.)","Pucca Road Length (in kms.)","Kutcha Road Length (in kms.)","Drainage System (Open-1/Closed-2/Both-3/No-4 ?)","Latrines-Pit (Numbers)","Latrines-Flush/Pour Flush (Numbers)","Latrines-Service (Numbers)","Latrines-Others (Numbers)","Protected Water Supply Source-1","System of Storage Source-1","Capacity Source-1  (in kilo-litres)","Protected Water Supply Source-2","System of Storage Source-2","Capacity Source-2 (in kilo-litres)","Protected Water Supply Source-3","System of Storage Source-3","Capacity Source-3 (in kilo-litres)","Protected Water Supply Source-4","System of Storage Source-4","Capacity Source-4 (in kilo-litres)","Protected Water Supply Source-5","System of Storage Source-5","Capacity Source-5 (in kilo-litres)","Fire Fighting Service (Status A(1)/NA(2))","If Staus -2 Nearest Fire Fighting Service Location","If Staus -2 Nearest Fire Fighting Service Location Distance (Kms)","Electricity-Domestic Connection (Numbers)","Electricity-Industrial Connection (Numbers)","Electricity-Commercial Connection (Numbers) ","Electricity-Road Lighting Connection (Numbers)","Electricity-Others Connection (Numbers) ","Hospital Allopathic (Numbers)","Hospital Allopathic Beds (Numbers)","Hospital Allopathic Doctors-Total Strength (Numbers)","Hospital Allopathic Doctors-In Position (Numbers)","Hospital Allopathic Para Medical Staff-Total Strength (Numbers)","Hospital Allopathic Para Medical Staff-In Postion (Numbers)","Hospital Allopathic Nearest facility Distance (in Kms.)","Hospital Alternative Medicine (Numbers)","Hospital Alternative Medicine Beds (Numbers)","Hospital Alternative Medicine Doctors-Total Strength (Numbers) ","Hospital Alternative Medicine Doctors-In Position (Numbers)","Hospital Alternative Medicine Para Medical Staff-Total Strength (Numbers)","Hospital Alternative Medicine Para Medical Staff-In Position (Numbers)","Hospital Alternative Medicine Nearest facility Distance(in kms.)","Dispensary/Health Centre (Numbers)","Dispensary/Health Centre Beds (Numbers)","Dispensary/Health Centre Doctors-Total Strength (Numbers)","Dispensary/Health Centre Doctors-In Position (Numbers)","Dispensary/Health Centre Para Medical Staff-Total Strength (Numbers)","Dispensary/Health Centre Para Medical Staff-In Position (Numbers)","Dispensary/Health Centre Nearest facility Distance (in Kms.)","Family Welfare Centre (Numbers)","Family Welfare Centre Beds (Numbers)","Family Welfare Centre Doctors-Total Strength (Numbers)","Family Welfare Centre Doctors-In Position (Numbers)","Family Welfare Centre Doctors Para Medical Staff-Total Strength (Numbers)","Family Welfare Centre Para Medical Staff-In Position (Numbers)","Family Welfare Centre Nearest facility Distance (in kms.)","Maternity and Child Welfare Centre (Numbers)","Maternity and Child Welfare Centre Beds (Numbers)","Maternity and Child Welfare Centre Doctors-Total Strength (Numbers)","Maternity and Child Welfare Centre Doctors-In Position (Numbers)","Maternity and Child Welfare Centre Para Medical Staff-Total Strength (Numbers)","Maternity and Child Welfare Centre Para Medical Staff-In Position (Numbers)","Maternity and Child Welfare Centre Nearest facility Distance (in Kms.)
","Maternity Home (Numbers)","Maternity Home Beds (Numbers)","Maternity Home Doctors-Total Strength (Numbers)","Maternity Home Doctors-In Position (Numbers)","Maternity Home Para Medical Staff-Total Strength (Numbers)","Maternity Home Para Medical Staff-In position (Numbers)","Maternity Home Nearest facility Distance (in kms.)","T.B. Hospital/ Clinic (Numbers)","T.B. Hospital/ Clinic Beds (Numbers)","T.B. Hospital/ Clinic Doctors-Total Strength (Numbers)","T.B. Hospital/ Clinic Doctors-In Position (Numbers)","T.B. Hospital/Clinic Para Medical Staff-Total Strength (Numbers)","T.B. Hospital/Clinic Para Medical Staff-In position (Numbers)","T.B. Hospital/ Clinic Nearest facility Distance (in kms.)","Nursing Home (Numbers) ","Nursing Home Beds (Numbers)","Nursing Home Doctors-Total Strength (Numbers)","Nursing Home Doctor-In Postion (Numbers)","Nursing Home Para Medical Staff-Total Strength (Numbers)","Nursing Home Para Medical Staff-In Position (Numbers)","Nursing Home Nearest facility Distance (in kms.)","Veterinary Hospital (Numbers)","Veterinary Hospital Beds (Numbers)","Veterinary Hospital Doctors-Total Strength (Numbers)","Veterinary Hospital Doctors-In Position (Numbers)","Veterinary Hospital Para Medical Staff-Total Strength (Numbers)","Veterinary Hospital Para Medical Staff-In Position (Numbers)","Veterinary Hospital Nearest facility Distance (in kms.)","Mobile Health Clinic (Numbers)","Mobile Health Clinic Beds (Numbers)","Mobile Health Clinic Doctors-Total Strength (Numbers)","Mobile Health Clinic Doctors-In Postion (Numbers)","Mobile Health Clinic Para Medical Staff-Total Strength (Numbers)","Mobile Health Clinic Para Medical Staff-In poistion (Numbers)","Mobile Health Clinic Nearest facility Distance (in kms.)","Others (Numbers)","Others Beds (Numbes)","Others Doctors-Total Strength (Numbers)","Others Doctors-In Position (Numbers)","Others Para Medical Staff-Total Strength (Numbers)","Others Para Medical Staff-In Position (Numbers)","Others Nearest facility Distance (in kms.)","Non-Government Out-Patient (Numbers)","Non-Government In and Out Patient (Numbers)","Non-Government Charitable-Hospital/Nursing Home (Numbers)","Non-Government Medicine Shop (Numbers)","Govt. Primary School (Status A(1)/NA(2))","Govt. Primary School (Numbers)","Private Primary School (Status A(1)/NA(2))","Private Primary School (Numbers)","Nearest Facility Status (Primary School) (Govt(1)/Private(2)) ","Nearest Village/Town Name (Primary School)","Nearest Village/Town Distance  (in kms.) (Primary School)","Govt. Middle School (Status A(1)/NA(2))","Govt. Middle School (Numbers)","Private Middle School (Status A(1)/NA(2))","Private Middle School (Numbers)","Nearest Facility Status (Private Middle School) (Govt(1)/Private(2))","Nearest Village/Town Name (Private Middle School)","Nearest Village/Town Distance (Private Middle School) (in kms.)","Govt. Secondary School (Status A(1)/NA(2))","Govt. Secondary School (Numbers)","Private Secondary School (Status A(1)/NA(2))","Private Secondary School (Numbers)","Nearest Facility Status (Secondary School)(Govt(1)/Private(2))","Nearest Village/Town Name (Secondary School)","Nearest Village/Town Distance (in kms.) (Secondary School)","Govt. Senior Secondary School (Status A(1)/NA(2))","Govt. Senior Secondary School (Numbers)","Private Senior Secondary School (Status A(1)/NA(2))","Private Senior Secondary School (Numbers) ","Nearest Facillty Status Senior Secondary School (Govt (1)/ Private (2))","Nearest Village/Town Name (Senior Secondary School)","Nearest Village/Town Distance (Senior Secondary School) (in kms.)","Govt. Degree College-Art Only (Status A(1)/NA(2))","Govt. Degree College-Art Only (Numbers)","Private Degree College-Art Only (Status A(1)/NA(2))","Private Degree College-Art Only (Numbers)","Nearest Facillty Status (Degree College-Art Only) (Govt (1)/ Private (2))","Nearest Village/Town Name (Degree College-Art Only)","Nearest Village/Town Distance (Degree College-Art Only) (in kms.)","Govt. Degree College-Science Only (Status A(1)/NA(2))","Govt. Degree College-Science Only (Numbers)","Private Degree College-Science Only (Status A(1)/NA(2))","Private Degree College-Science Only (Numbers)","Nearest Facillty Status (Degree College-Science Only)(Govt (1)/ Private (2))","Nearest Village/Town Name (Degree College-Science Only)","Nearest Village/Town Distance (Degree College-Science Only) (in kms.)","Govt. Degree College-Commerce Only (Status A(1)/NA(2))","Govt. Degree College-Commerce Only (Numbers))","Private Degree College-Commerce Only (Status A(1)/NA(2))","Private Degree College-Commerce Only (Numbers)","Nearest Facillty Status (Degree College-Commerce Only)(Govt (1)/ Private (2))","Nearest Village/Town Name (Degree College-Commerce Only)","Nearest Village/Town Distance (Degree College-Commerce Only)(in kms.)","Govt. Degree College-Art and Science Only (Status A(1)/NA(2))","Govt. Degree College-Art and Science Only (Numbers))","Private Degree College-Art and Science Only (Status A(1)/NA(2))","Private Degree College-Art and Science Only (Numbers)","Nearest Facillty Status (Degree College-Art and Science Only) (Govt (1)/ Private (2))","Nearest Village/Town Name (Degree College-Art and Science Only)","Nearest Village/Town Distance (Degree College-Art and Science Only) (in kms.)","Govt. Degree College-Art and Commerce Only (Status A(1)/NA(2))","Govt. Degree College-Art and Commerce Only (Numbers))","Private Degree College-Art and Commerce Only (Status A(1)/NA(2))","Private Degree College-Art and Commerce Only (Numbers)","Nearest Facillty Status (Degree College-Art and Commerce Only) (Govt (1)/ Private (2))","Nearest Village/Town Name (Degree College-Art and Commerce Only)","Nearest Village/Town Distance (Degree College-Art and Commerce Only) (in kms.)","Govt. Degree College-Art,Science and Commerce (Status A(1)/NA(2))","Govt. Degree College-Art,Science and Commerce (Numbers))","Private Degree College-Art,Science and Commerce (Status A(1)/NA(2))","Private Degree College-Art,Science and Commerce (Numbers)","Nearest Facillty Status (Degree College-Art,Science and Commerce) (Govt (1)/ Private (2))","Nearest Village/Town Name (Degree College-Art,Science and Commerce)","Nearest Village/Town Distance (Degree College-Art,Science and Commerce) (in kms.)","Govt. Degree College-Law (Status A(1)/NA(2))","Govt. Degree College-Law (Numbers))","Private Degree College-Law (Status A(1)/NA(2))","Private Degree College-Law (Numbers)","Nearest Facillty Status (Degree College-Law) (Govt (1)/ Private (2))","Nearest Village/Town Name (Degree College-Law)","Nearest Village/Town Distance (Degree College-Law) (in kms.)","Govt. Degree College-University (Status A(1)/NA(2))","Govt. Degree College-University (Numbers))","Private Degree College-University (Status A(1)/NA(2))","Private Degree College-University (Numbers)","Nearest Facillty Status (Degree College-University)(Govt (1)/ Private (2))","Nearest Village/Town Name (Degree College-University)","Nearest Village/Town Distance (Degree College-University) (in kms.)","Govt. Degree College-Others (Status A(1)/NA(2))","Govt. Degree College-Others (Numbers))","Private Degree College-Others (Status A(1)/NA(2))","Private Degree College-Others (Numbers)","Nearest Facillty Status (Degree College-Others) (Govt (1)/ Private (2))","Nearest Village/Town Name (Degree College-Others)","Nearest Village/Town Distance (Degree College-Others) (in kms.)","Govt.-Medical College (Status A(1)/NA(2))","Govt.-Medical College (Numbers))","Private-Medical College (Status A(1)/NA(2))","Private-Medical College (Numbers)","Nearest Facillty Status (Medical College) (Govt (1)/ Private (2))","Nearest Village/Town Name (Medical College)","Nearest Village/Town Distance (Medical College) (in kms.)","Govt.-Engineering College (Status A(1)/NA(2))","Govt.-Engineering College (Numbers))","Private-Engineering College (Status A(1)/NA(2))","Private-Engineering College (Numbers)","Nearest Facillty Status (Engineering College) (Govt (1)/ Private (2))","Nearest Village/Town Name (Engineering College)","Nearest Village/Town Distance (Engineering College) (in kms.)","Govt.-Management Institute (Status A(1)/NA(2))","Govt.-Management Institute (Numbers))","Private-Management Institute (Status A(1)/NA(2))","Private-Management Institute (Numbers)","Nearest Facillty Status (Management Institute) (Govt (1)/ Private (2))","Nearest Village/Town Name (Management Institute)","Nearest Village/Town Distance (Management Institute) (in kms.)","Govt.-Polytechnic (Status A(1)/NA(2))","Govt.-Polytechnic (Numbers))","Private-Polytechnic (Status A(1)/NA(2))","Private-Polytechnic (Numbers)","Nearest Facillty Status (Polytechnic) (Govt (1)/ Private (2))","Nearest Village/Town Name (Polytechnic)","Nearest Village/Town Distance (Polytechnic) (in kms.)","Govt.-Shorthand (Status A(1)/NA(2))","Govt.-Shorthand (Numbers))","Private-Shorthand (Status A(1)/NA(2))","Private-Shorthand (Numbers)","Nearest Facillty Status (Shorthand) (Govt (1)/ Private (2))","Nearest Village/Town Name (Shorthand)","Nearest Village/Town Distance (Shorthand) (in kms.)","Govt.-Typewriting (Status A(1)/NA(2))","Govt.-Typewriting (Numbers))","Private-Typewriting (Status A(1)/NA(2))","Private-Typewriting (Numbers)","Nearest Facillty Status (Typewriting) (Govt (1)/ Private (2))","Nearest Village/Town Name (Typewriting)","Nearest Village/Town Distance (Typewriting) (in kms.)","Govt.-Shorthand and Typewriting (Status A(1)/NA(2))","Govt.-Shorthand and Typewriting (Numbers))","Private-Shorthand and Typewriting (Status A(1)/NA(2))","Private-Shorthand and Typewriting (Numbers)","Nearest Facillty Status (Shorthand and Typewriting) (Govt (1)/ Private (2))","Nearest Village/Town Name (Shorthand and Typewriting)","Nearest Village/Town Distance (Shorthand and Typewriting) (in kms.)","Govt.-MS Office (Status A(1)/NA(2))","Govt.-MS Office (Numbers))","Private-MS Office (Status A(1)/NA(2))","Private-MS Office (Numbers)","Nearest Facillty Status (MS Office) (Govt (1)/ Private (2))","Nearest Village/Town Name (MS Office)","Nearest Village/Town Distance (MS Office) (in kms.)","Govt.-Desk Top Publishing (Status A(1)/NA(2))","Govt.-Desk Top Publishing (Numbers))","Private-Desk Top Publishing (Status A(1)/NA(2))","Private-Desk Top Publishing (Numbers)","Nearest Facillty Status (Desk Top Publishing) (Govt (1)/ Private (2))","Nearest Village/Town Name (Desk Top Publishing)","Nearest Village/Town Distance (Desk Top Publishing) (in kms.)","Govt.-Vocational(Others) (Status A(1)/NA(2))","Govt.-Vocational(Others) (Numbers))","Private-Vocational(Others) (Status A(1)/NA(2))","Private-Vocational(Others) (Numbers)","Nearest Facillty Status ((Vocational(Others)) (Govt (1)/ Private (2))","Nearest Village/Town Name (Vocational(Others))","Nearest Village/Town Distance ((Vocational(Others)) (in kms.)","Govt.-Non Formal Education (Status A(1)/NA(2))","Govt.-Non Formal Education (Numbers))","Private-Non Formal Education (Status A(1)/NA(2))","Private-Non Formal Education (Numbers)","Nearest Facillty Status (Non Formal Education) (Govt (1)/ Private (2))","Nearest Village/Town Name (Non Formal Education)","Nearest Village/Town Distance (Non Formal Education) (in kms.)","Govt.-Special School for Disabled (Status A(1)/NA(2))","Govt.-Special School for Disabled (Numbers))","Private-Special School for Disabled (Status A(1)/NA(2))","Private-Special School for Disabled (Numbers)","Nearest Facillty Status (Special School for Disabled) (Govt (1)/ Private (2))","Nearest Village/Town Name (Special School for Disabled)","Nearest Village/Town Distance (Special School for Disabled) (in kms.)","Govt.-Others(Specify) (Status A(1)/NA(2))","Govt.-Others(Specify) (Numbers))","Private-Others(Specify) (Status A(1)/NA(2))","Private-Others(Specify) (Numbers)","Nearest Facillty Status (Others(Specify)) (Govt (1)/ Private (2))","Nearest Village/Town Name (Others(Specify))","Nearest Village/Town Distance (Others(Specify)) (in kms.)","Govt.-Orphanage Home (Status A(1)/NA(2))","Govt.-Orphanage Home (Numbers))","Private-Orphanage Home (Status A(1)/NA(2))","Private-Orphanage Home (Numbers)","Nearest Facillty Status (Orphanage Home) (Govt (1)/ Private (2))","Nearest Village/Town Name (Orphanage Home)","Nearest Village/Town Distance (Orphanage Home) (in kms.)","Govt.-Working Women's Hostel (Status A(1)/NA(2))","Govt.-Working Women's Hostel (Numbers))","Private-Working Women's Hostel (Status A(1)/NA(2))","Private-Working Women's Hostel (Numbers)","Nearest Facillty Status (Working Women's Hostel) (Govt (1)/ Private (2))","Nearest Village/Town Name (Working Women's Hostel)","Nearest Village/Town Distance (Working Women's Hostel) (in kms.)","Govt.-Old Age Home (Status A(1)/NA(2))","Govt.-Old Age Home (Numbers))","Private-Old Age Home (Status A(1)/NA(2))","Private-Old Age Home (Numbers)","Nearest Facillty Status (Old Age Home) (Govt (1)/ Private (2))","Nearest Village/Town Name (Old Age Home)","Nearest Village/Town Distance (Old Age Home) (in kms.)","Govt.-Stadium (Status A(1)/NA(2))","Govt.-Stadium (Numbers))","Private-Stadium (Status A(1)/NA(2))","Private-Stadium (Numbers)","Nearest Facillty Status (Stadium) (Govt (1)/ Private (2))","Nearest Village/Town Name (Stadium)","Nearest Village/Town Distance (Stadium) (in kms.)","Govt.-Cinema Theatre (Status A(1)/NA(2))","Govt.-Cinema Theatre (Numbers))","Private-Cinema Theatre (Status A(1)/NA(2))","Private-Cinema Theatre (Numbers)","Nearest Facillty Status (Cinema Theatre) (Govt (1)/ Private (2))","Nearest Village/Town Name (Cinema Theatre)","Nearest Village/Town Distance (Cinema Theatre) (in kms.)","Govt.-Auditorium/Community Hall (Status A(1)/NA(2))","Govt.-Auditorium/Community Hall (Numbers))","Private-Auditorium/Community Hall (Status A(1)/NA(2))","Private-Auditorium/Community Hall (Numbers)","Nearest Facillty Status (Auditorium/Community Hall) (Govt (1)/ Private (2))","Nearest Village/Town Name (Auditorium/Community Hall)","Nearest Village/Town Distance (Auditorium/Community Hall) (in kms.)","Govt.-Public Library (Status A(1)/NA(2))","Govt.-Public Library (Numbers))","Private-Public Library (Status A(1)/NA(2))","Private-Public Library (Numbers)","Nearest Facillty Status (Public Library) (Govt (1)/ Private (2))","Nearest Village/Town Name (Public Library)","Nearest Village/Town Distance (Public Library) (in kms.)","Govt.-Public Reading Room (Status A(1)/NA(2))","Govt.-Public Reading Room (Numbers))","Private-Public Reading Room (Status A(1)/NA(2))","Private-Public Reading Room (Numbers)","Nearest Facillty Status (Govt (1)/ Private (2))","Nearest Village/Town Name","Nearest Village/Town Distance (in kms.)","Manufactured Commodity (First)
","Manufactured Commodity (Second)","Manufactured Commodity (Third)","Nationalised Bank (Numbers)","Private Commercial Bank (Numbers)","Co-operative Bank (Numbers)","Agricultural Credit Society (Numbers)","Non-Agricultural Credit Society (Numbers)"
"'09","UTTAR PRADESH","'164","KANPUR NAGAR","'00848","BILHAUR","'150291","Choubepur Kalan (CT)","1932","10785","5670","5115","1200","645","555","0","0","0","2009","IV","CT","BILHAUR","CHOUBEPUR","1.78","1932","1200","0","Created after 1991 Census",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8381",NA,"10785","28.68","6058.99",NA,"864","902","868","46","6","LUCKNOW","125","KANPUR NAGAR","30","BILHOAUR","15","KANPUR","30","LUCKNOW","50","KANPUR","30","YES","0","32","20","3","807","52","0","0","TU","OHT","10000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,"2000","20","100","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","3","2","2","1","2","1","6",NA,NA,NA,"1","2","1","6",NA,NA,NA,"1","2","1","1",NA,NA,NA,"1","2","1","1",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","1","1",NA,NA,NA,"2","0","1","1",NA,NA,NA,"2","0","1","1",NA,NA,NA,"2","0","2","0","1","GURUDEV","20","2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"1","1","2","0",NA,NA,NA,"2","0","2","0","2","BITHUR","1","2","0","2","0",NA,NA,NA,"2","0","2","0","1","KANPUR","20","2","0","2","0","1","KANPUR","20","2","0","2","0","1","BITHUR","10","2","0","2","0","1","GREEN PARK","25","2","0","1","1",NA,NA,NA,"2","0","2","0","1","KANPUR","20","2","0","2","0","1","KANPUR","20","2","0","2","0","1","KANPUR","20","SHOES & SLIPPERS","CLOTHES","BRICKS","4","0","1","1","0"
"'09","UTTAR PRADESH","'164","KANPUR NAGAR","'00848","BILHAUR","'801002","Bilhaur (NPP)","3442","20493","10836","9657","1220","660","560","0","0","0","2009","III","NPP","BILHAUR",NA,"3","3442","1220","0","5,143","(-19.72)","4,129","(+7.92)","4,456","(+1.19)","4,509","(+18.01)","5,321","(-10.30)","4,773",NA,"Declassified",NA,NA,NA,"11,380","(+31.29)","14,941","20.92","18067","20.92","20493","13.43","6831.00","890","880","891","868","46","6","LUCKNOW","110","KANPUR NAGAR","50","BILHAUR","1","KANNAUJ","26","KANPUR NAGAR","50","BILHAUR","0","YES","0","27","1","1","735","1080","2","0","TW","OHT","8865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","KANPUR NAGAR","50","1420","12","0","275","0","1","30","4","0","15","15","0","1","5","1","1","4","4","0","0","0","0","0","0","0","26","1","3","1","1","3","3","0","1","3","1","1","3","3","0","1","3","1","1","3","3","0","0","0","0","0","0","0","50","0","0","0","0","0","0","26","1","0","1","1","3","3","0","0","0","0","0","0","0","26","0","0","0","0","0","0","26","18","0","0","8","1","3","1","6",NA,NA,NA,"1","2","1","5",NA,NA,NA,"1","1","1","3",NA,NA,NA,"1","1","2","0",NA,NA,NA,"2","0","2","0","2","BILHOUR","4","2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0","1","KANPUR NAGAR","50","2","0","2","0","1","MANLAPUR","9","2","0","2","0","1","RAWATPUR","47","2","0","2","0","1","VIKAS NAGAR","45","2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"1","1","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0","1","KANPUR NAGAR","50","2","0","2","0","1","KANPUR NAGAR","50","2","0","2","0",NA,NA,NA,"2","0","2","0","1","KANPUR NAGAR","50","2","0","2","0","1","KANPUR NAGAR","50","2","0","2","0","1","KANPUR NAGAR","50","2","0","2","0","1","KANPUR NAGAR","50","2","0","2","0","2","KANPUR NAGAR","50","1","1","2","0",NA,NA,NA,"2","0","2","0","1","KANPUR NAGAR","50","2","0","2","0","1","KANPUR NAGAR","580","CARPET WEAVING","PAINTING WORK","BIDI","4","1","1","0","0"
"'09","UTTAR PRADESH","'164","KANPUR NAGAR","'00848","BILHAUR","'801003","Shivrajpur (NP)","2121","11948","6284","5664","2732","1414","1318","0","0","0","2009","IV","NP","BILHAUR",NA,"4.2","2121","2732","0","Created after 1971 Census",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,611","(+34.52)","7,548","35.37","10218","35.37","11948","16.93","2844.76","855","833","901","868","46","6","LUCKNOW","125","KANPUR NAGAR","40","BILHAUR","19","KANPUR NAGAR","40","KANPUR NAGAR","40","SHIVRAJPUR","1","YES","0","16.6","1","1","0","750","0","0","TK/P/L","OHT","1620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","KANPUR NAGAR","40","1280","3","88","23","2","1","7","2","2","11","11","0","0","0","0","0","0","0","40","0","0","0","0","0","0","40","0","0","0","0","0","0","40","0","0","0","0","0","0","40","1","4","2","2","6","6","0","0","0","0","0","0","0","40","0","0","0","0","0","0","40","1","0","1","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","5","0","9","1","3","1","5",NA,NA,NA,"1","2","1","3",NA,NA,NA,"2","0","1","5",NA,NA,NA,"2","0","1","1",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0","1","SHIVRAJPUR","1","2","0","2","0","1","SHIVRAJPUR","1","2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0","1","KANPUR NAGAR","40","2","0","2","0","1","KANPUR NAGAR","30","2","0","2","0","1","KANPUR NAGAR","30","2","0","2","0","1","KANPUR NAGAR","40","2","0","2","0",NA,NA,NA,"2","0","2","0","1","KANPUR NAGAR","32","2","0","2","0","1","KANPUR NAGAR","32","2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0",NA,NA,NA,"2","0","2","0","1","KANPUR NAGAR","32","2","0","2","0","1","KANPUR NAGAR","32","2","0","2","0",NA,NA,NA,"2","0","2","0","1","KANPUR NAGAR","40","2","0","2","0","1","KANPUR NAGAR","40","2","0","2","0",NA,NA,NA,"2","0","2","0","1","KANPUR NAGAR","50","2","0","2","0","2","KANPUR NAGAR","50","2","0","2","0","1","KANPUR NAGAR","50","2","0","2","0","1","KANPUR NAGAR","40","2","0","2","0",NA,NA,NA,"NIL","NIL","NIL","3","0","1","1","0"
